"CASEID_NEW","PPAGECAT","PPAGE","PPEDUCAT","PPEDUC","PPETHM","PPGENDER","PPHOUSEHOLDSIZE","PPINCIMP","PPMARIT","PPREG4","PPRENT","CHILDREN_IN_HH","PPWORK","PPNET","PPPARTYID3","PAPRELIGION","Q4","Q6B","Q7B","Q9","Q10","Q17A","Q21B","Q21D","Q23","Q27","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q31_6","Q31_7","Q31_8","Q31_9","Q32","Q34","HOW_LONG_RELATIONSHIP"
73603,"(05) 55-64",60,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(1) male",1,"(07) $20,000 to $24,999","(3) divorced","(2) midwest","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(0) no","(1) republican","(01) Baptist- any denomination","(2) female","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",60,"(13) master's degree","(1) once (this is my first marriage)",31,31,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(5) very poor",29
75621,"(05) 55-64",62,"(1) less than high school","(05) 9th grade","(1) white, non-hispanic","(1) male",2,"(13) $60,000 to $74,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(5) not working - retired","(1) yes","(1) republican","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(2) female","(1) white","(01) baptist - any denomination",52,"(10) some college, no degree","(2) twice",33,34,"(1) i earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(2) good",29
77256,"(02) 25-34",25,"(4) bachelor's degree or higher","(12) bachelors degree","(1) white, non-hispanic","(2) female",2,"(14) $75,000 to $84,999","(6) living with partner","(2) midwest","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(11) other Christian","(1) male","(1) white","(03) catholic",33,"(11) associate degree","(1) once (this is my first marriage)",20,24,"(2) we earned about the same amount","(2) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",5
78351,"(03) 35-44",35,"(3) some college","(10) some college, no degree","(1) white, non-hispanic","(1) male",2,"(14) $75,000 to $84,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(13) None","(2) female","(1) white","(03) catholic",45,"(12) bachelor's degree","(1) once (this is my first marriage)",19,22,"(1) i earned more","(2) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(2) good",16
79731,"(06) 65-74",73,"(4) bachelor's degree or higher","(13) masters degree","(1) white, non-hispanic","(1) male",2,"(16) $100,000 to $124,999","(1) married","(2) midwest","(1) owned or being bought by you or someone in your household",0,"(5) not working - retired","(1) yes","(3) democrat","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(2) female","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",59,"(13) master's degree","(4) four or more times",47,48,"(3) partner earned more","(2) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes, a social networking site (like facebook or myspace)","(2) good",26
82431,"(03) 35-44",43,"(1) less than high school","(06) 10th grade","(1) white, non-hispanic","(2) female",6,"(05) $12,500 to $14,999","(1) married","(2) midwest","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(0) no","(3) democrat","(01) Baptist- any denomination","(1) male","(1) white","(01) baptist - any denomination",53,"(10) some college, no degree","(2) twice",17,30,"(1) i earned more","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(2) no, we did not meet through the internet","(2) good",26
83431,"(03) 35-44",43,"(4) bachelor's degree or higher","(12) bachelors degree","(1) white, non-hispanic","(2) female",3,"(13) $60,000 to $74,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",1,"(1) working - as a paid employee","(1) yes","(1) republican","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(2) female","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",44,"(14) professional or doctorate degree","(1) once (this is my first marriage)",20,22,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(2) no, we did not meet through the internet","(1) excellent",23
85281,"(02) 25-34",28,"(4) bachelor's degree or higher","(12) bachelors degree","(1) white, non-hispanic","(2) female",3,"(16) $100,000 to $124,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(0) no","(1) republican","(01) Baptist- any denomination","(1) male","(1) white","(01) baptist - any denomination",33,"(13) master's degree","(1) once (this is my first marriage)",18,22,"(3) partner earned more","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",10
86591,"(05) 55-64",59,"(3) some college","(10) some college, no degree","(1) white, non-hispanic","(2) female",2,"(06) $15,000 to $19,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(0) no","(3) democrat","(01) Baptist- any denomination","(1) male","(1) white","(01) baptist - any denomination",52,"(11) associate degree","(1) once (this is my first marriage)",40,42,"(1) i earned more","(2) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",19
94431,"(03) 35-44",43,"(4) bachelor's degree or higher","(12) bachelors degree","(4) hispanic","(1) male",2,"(14) $75,000 to $84,999","(1) married","(4) west","(2) rented for cash",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(05) Jewish","(2) female","(1) white","(11) other christian",56,"(11) associate degree","(1) once (this is my first marriage)",29,35,"(1) i earned more","(2) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(2) good",14
95431,"(03) 35-44",43,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(1) male",5,"(13) $60,000 to $74,999","(1) married","(2) midwest","(1) owned or being bought by you or someone in your household",3,"(1) working - as a paid employee","(1) yes","(1) republican","(03) Catholic","(2) female","(1) white","(03) catholic",43,"(12) bachelor's degree","(1) once (this is my first marriage)",18,22,"(1) i earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(3) fair",25
99611,"(05) 55-64",61,"(4) bachelor's degree or higher","(12) bachelors degree","(3) other, non-hispanic","(1) male",2,"(16) $100,000 to $124,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(5) not working - retired","(1) yes","(3) democrat","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(2) female","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",59,"(14) professional or doctorate degree","(1) once (this is my first marriage)",21,24,"(3) partner earned more","(1) yes","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",40
100331,"(02) 25-34",33,"(4) bachelor's degree or higher","(13) masters degree","(1) white, non-hispanic","(1) male",5,"(14) $75,000 to $84,999","(1) married","(4) west","(2) rented for cash",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(2) female","(1) white","(03) catholic",33,"(12) bachelor's degree","(1) once (this is my first marriage)",22,30,"(1) i earned more","(2) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(2) good",11
108381,"(03) 35-44",38,"(4) bachelor's degree or higher","(12) bachelors degree","(1) white, non-hispanic","(2) female",4,"(16) $100,000 to $124,999","(1) married","(4) west","(2) rented for cash",2,"(7) not working - other","(1) yes","(1) republican","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(1) male","(1) white","(03) catholic",39,"(14) professional or doctorate degree","(1) once (this is my first marriage)",19,26,"(3) partner earned more","(2) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes, a social networking site (like facebook or myspace)","(3) fair",19
108501,"(04) 45-54",50,"(4) bachelor's degree or higher","(14) professional or doctorate degree","(1) white, non-hispanic","(1) male",2,"(14) $75,000 to $84,999","(1) married","(2) midwest","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(05) Jewish","(2) female","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",52,"(14) professional or doctorate degree","(1) once (this is my first marriage)",23,26,"(1) i earned more","(2) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",27
112646,"(05) 55-64",64,"(3) some college","(10) some college, no degree","(1) white, non-hispanic","(1) male",2,"(16) $100,000 to $124,999","(6) living with partner","(4) west","(2) rented for cash",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(13) None","(1) male","(1) white","(11) other christian",64,"(12) bachelor's degree","(1) once (this is my first marriage)",34,64,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(2) no, we did not meet through the internet","(1) excellent",30
114276,"(02) 25-34",27,"(4) bachelor's degree or higher","(12) bachelors degree","(1) white, non-hispanic","(2) female",2,"(13) $60,000 to $74,999","(6) living with partner","(2) midwest","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(1) republican","(03) Catholic","(1) male","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",29,"(13) master's degree","(1) once (this is my first marriage)",22,26,"(3) partner earned more","(2) no","(1) yes","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",5
116271,"(02) 25-34",27,"(3) some college","(10) some college, no degree","(1) white, non-hispanic","(1) male",4,"(12) $50,000 to $59,999","(1) married","(2) midwest","(2) rented for cash",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(11) other Christian","(2) female","(1) white","(11) other christian",30,"(09) hs graduate or ged","(1) once (this is my first marriage)",20,24,"(1) i earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(5) yes, an internet chat room","(1) excellent",7
119371,"(03) 35-44",37,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(2) female",4,"(05) $12,500 to $14,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",2,"(7) not working - other","(1) yes","(3) democrat","(13) None","(1) male","(1) white","(12) other non-christian, please specify",27,"(09) hs graduate or ged","(2) twice",29,30,"(1) i earned more","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(1) yes, a social networking site (like facebook or myspace)","(1) excellent",8
120456,"(04) 45-54",45,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(4) hispanic","(2) female",3,"(17) $125,000 to $149,999","(6) living with partner","(4) west","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(12) other non-Christian, please specify","(1) male","(1) white","(13) none",58,"(13) master's degree","(2) twice",24,44,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",21
122441,"(03) 35-44",44,"(1) less than high school","(08) 12th grade no diploma","(1) white, non-hispanic","(2) female",2,"(10) $35,000 to $39,999","(1) married","(2) midwest","(1) owned or being bought by you or someone in your household",0,"(7) not working - other","(0) no","(3) democrat","(01) Baptist- any denomination","(1) male","(1) white","(01) baptist - any denomination",47,"(09) hs graduate or ged","(2) twice",20,20,"(3) partner earned more","(2) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",24
126231,"(01) 18-24",23,"(3) some college","(11) associate degree","(3) other, non-hispanic","(2) female",5,"(19) $175,000 or more","(1) married","(2) midwest","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(03) Catholic","(1) male","(1) white","(03) catholic",34,"(12) bachelor's degree","(1) once (this is my first marriage)",17,18,"(3) partner earned more","(2) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",6
128441,"(03) 35-44",44,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(2) black, non-hispanic","(1) male",1,"(18) $150,000 to $174,999","(1) married","(4) west","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(11) other Christian","(2) female","(2) black or african american","(09) pentecostal",45,"(12) bachelor's degree","(2) twice",41,42,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(4) yes, an internet classified advertising site (like craigslist)","(1) excellent",2.5
130266,"(02) 25-34",26,"(4) bachelor's degree or higher","(12) bachelors degree","(1) white, non-hispanic","(1) male",2,"(18) $150,000 to $174,999","(6) living with partner","(3) south","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(1) republican","(03) Catholic","(2) female","(1) white","(03) catholic",32,"(12) bachelor's degree","(1) once (this is my first marriage)",25,26,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",2.5
131561,"(05) 55-64",56,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(2) female",2,"(12) $50,000 to $59,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(7) not working - other","(1) yes","(1) republican","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(1) male","(1) white","(01) baptist - any denomination",60,"(08) 12th grade no diploma","(1) once (this is my first marriage)",18,18,"(3) partner earned more","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",38
133521,"(04) 45-54",52,"(4) bachelor's degree or higher","(12) bachelors degree","(1) white, non-hispanic","(2) female",2,"(13) $60,000 to $74,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",1,"(5) not working - retired","(1) yes","(1) republican","(03) Catholic","(1) male","(1) white","(03) catholic",54,"(09) hs graduate or ged","(1) once (this is my first marriage)",16,19,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",36
140511,"(04) 45-54",51,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(2) female",5,"(15) $85,000 to $99,999","(1) married","(4) west","(1) owned or being bought by you or someone in your household",3,"(2) working - self-employed","(1) yes","(1) republican","(01) Baptist- any denomination","(1) male","(1) white","(01) baptist - any denomination",51,"(10) some college, no degree","(2) twice",20,23,"(3) partner earned more","(2) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",31
145611,"(05) 55-64",61,"(3) some college","(10) some college, no degree","(1) white, non-hispanic","(1) male",3,"(14) $75,000 to $84,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",1,"(2) working - self-employed","(0) no","(1) republican","(01) Baptist- any denomination","(2) female","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",58,"(10) some college, no degree","(1) once (this is my first marriage)",20,21,"(1) i earned more","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",41
150411,"(03) 35-44",41,"(4) bachelor's degree or higher","(13) masters degree","(3) other, non-hispanic","(1) male",2,"(19) $175,000 or more","(1) married","(4) west","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(03) Catholic","(2) female","(1) white","(13) none",44,"(12) bachelor's degree","(1) once (this is my first marriage)",33,39,"(2) we earned about the same amount","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(2) no, we did not meet through the internet","(1) excellent",8
151506,"(04) 45-54",50,"(4) bachelor's degree or higher","(12) bachelors degree","(5) 2+ races, non-hispanic","(2) female",4,"(17) $125,000 to $149,999","(6) living with partner","(3) south","(1) owned or being bought by you or someone in your household",0,"(2) working - self-employed","(1) yes","(1) republican","(13) None","(1) male","(1) white","(13) none",33,"(10) some college, no degree","(4) four or more times",40,41,"(1) i earned more","(2) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",10
152762,"(07) 75+",76,"(3) some college","(10) some college, no degree","(2) black, non-hispanic","(2) female",1,"(03) $7,500 to $9,999","(2) widowed","(1) northeast","(1) owned or being bought by you or someone in your household",0,"(5) not working - retired","(0) no","(3) democrat","(09) Pentecostal","(1) male","(2) black or african american","(09) pentecostal",72,"(06) 10th grade","(1) once (this is my first marriage)",17,22,"(2) we earned about the same amount","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(1) yes","(0) no","(2) no, we did not meet through the internet","(3) fair",59
154531,"(04) 45-54",53,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(1) white, non-hispanic","(1) male",6,"(16) $100,000 to $124,999","(1) married","(2) midwest","(1) owned or being bought by you or someone in your household",2,"(1) working - as a paid employee","(1) yes","(3) democrat","(03) Catholic","(2) female","(1) white","(03) catholic",50,"(13) master's degree","(1) once (this is my first marriage)",24,28,"(1) i earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(2) no, we did not meet through the internet","(2) good",29
155561,"(05) 55-64",56,"(3) some college","(10) some college, no degree","(1) white, non-hispanic","(2) female",2,"(07) $20,000 to $24,999","(1) married","(3) south","(1) owned or being bought by you or someone in your household",0,"(7) not working - other","(0) no","(1) republican","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(1) male","(1) white","(11) other christian",61,"(12) bachelor's degree","(1) once (this is my first marriage)",21,22,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",35
157421,"(03) 35-44",42,"(3) some college","(10) some college, no degree","(1) white, non-hispanic","(1) male",4,"(13) $60,000 to $74,999","(1) married","(1) northeast","(1) owned or being bought by you or someone in your household",1,"(6) not working - disabled","(1) yes","(1) republican","(03) Catholic","(2) female","(1) white","(03) catholic",52,"(11) associate degree","(1) once (this is my first marriage)",31,32,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(2) good",11
158261,"(02) 25-34",26,"(3) some college","(11) associate degree","(1) white, non-hispanic","(2) female",3,"(16) $100,000 to $124,999","(1) married","(4) west","(1) owned or being bought by you or someone in your household",0,"(7) not working - other","(1) yes","(3) democrat","(11) other Christian","(1) male","(1) white","(13) none",29,"(12) bachelor's degree","(1) once (this is my first marriage)",18,20,"(3) partner earned more","(1) yes","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(3) yes, an internet dating or matchmaking site (like eharmony or match.com)","(1) excellent",8
162521,"(04) 45-54",52,"(4) bachelor's degree or higher","(12) bachelors degree","(1) white, non-hispanic","(2) female",2,"(12) $50,000 to $59,999","(1) married","(1) northeast","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(1) republican","(03) Catholic","(1) male","(1) white","(03) catholic",55,"(13) master's degree","(1) once (this is my first marriage)",23,24,"(3) partner earned more","(2) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(2) good",29
166381,"(03) 35-44",38,"(4) bachelor's degree or higher","(12) bachelors degree","(4) hispanic","(1) male",2,"(16) $100,000 to $124,999","(1) married","(4) west","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(1) republican","(03) Catholic","(2) female","(1) white","(13) none",31,"(12) bachelor's degree","(1) once (this is my first marriage)",28,34,"(1) i earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",10
168646,"(05) 55-64",64,"(3) some college","(10) some college, no degree","(1) white, non-hispanic","(2) female",2,"(12) $50,000 to $59,999","(6) living with partner","(3) south","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(01) Baptist- any denomination","(2) female","(1) white","(01) baptist - any denomination",51,"(11) associate degree","(1) once (this is my first marriage)",43,44,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",21
